id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai,luotxem,rating,vote
1,Đam Mê Dục Vọng,Hoàn thành,Kōta Yoshida,85.0,Vietsub,2016,Nhật Bản,"Tình cảm, Chính kịch, Viễn tưởng, Phim 18+, Phim lẻ",HD,167.0,8.0,1.0
2,Love Sick 2024,Đang chiếu,Cheewin Thanamin Wongskulphat,60.0,VietSub,2024,Thái Lan,"Tình cảm, Hài hước, Chính kịch, Tâm lý",HD,3542.0,8.0,1.0
3,Liên Minh Huyền Thoại: Khởi Nguồn,Hoàn thành,"Suki Medencevic, Leslie Iwerks",77.0,Vietsub,2019,Âu Mỹ,Tài liệu,HD,1746.0,8.0,1.0
4,Sát Thủ Mật Danh 13,Hoàn thành,Timo Tjahjanto,144.0,Vietsub,2024,Indonesia,"Hành động, Hình sự, Tâm lý",FHD,324.0,8.0,1.0
5,Vụ Cướp Táo Tợn,Hoàn thành,Michał Gazda,114.0,Vietsub,2024,Ba Lan,"Hình sự, Chính kịch",FHD,229.0,8.0,1.0
6,Hellboy: Đại Chiến Quỷ Dữ,Hoàn thành,Brian Taylor,100.0,Vietsub,2024,Âu Mỹ,"Viễn tưởng, Kinh dị, Phiêu lưu, Hành động",HD,1539.0,8.0,1.0
7,Cái Chết Của Bạch Tuyết,Hoàn thành,"Byun Young Joo, Lee Kyoo Man",70.0,VietSub,2024,Hàn Quốc,"Tình cảm, Chính kịch, Tâm lý, Phiêu lưu, Bí ẩn, Hình sự",HD,10248.0,8.0,1.0
9,Hội Quái Hộp,Hoàn thành,Anthony Stacchi,97.0,Vietsub,2014,Âu Mỹ,"Hài hước, Gia đình, Hoạt hình",HD,259.0,8.0,1.0
10,Đặc Vụ Xuyên Quốc Gia,Hoàn thành,Lee Seok Hoon,130.0,Vietsub,2022,Hàn Quốc,"Hành động, Phiêu lưu",HD,5447.0,9.0,1.0
11,Bí Mật Đêm Hè,Hoàn thành,Rawiphon Hong-ngam,44.0,Vietsub,2024,Thái Lan,"Tình cảm, Chính kịch, Tâm lý",HD,1284.0,8.0,1.0
13,Thượng Ẩn Thái Lan,Hoàn thành,Yuan Tin Tun Danop,60.0,VietSub,2024,Thái Lan,"Tình cảm, Chính kịch, Tâm lý",HD,3287.0,8.0,1.0
15,Hố Sâu Đói Khát 2,Hoàn thành,Galder Gaztelu-Urrutia,100.0,Vietsub,2024,Tây Ban Nha,"Viễn tưởng, Khoa học, Chính kịch",HD,599.0,8.0,1.0
16,Những kẻ xấu xa: Phi vụ ma ám,Hoàn thành,Kevin Peaty,22.0,Vietsub,2024,Âu Mỹ,"Hài hước, Hoạt hình",HD,468.0,8.0,1.0
18,Phần Đất Của Salem,Hoàn thành,Gary Dauberman,113.0,Vietsub,2024,Âu Mỹ,"Kinh dị, Bí ẩn",HD,534.0,8.0,1.0
19,Thần Mộ,Hoàn thành,Hui Tong,74.0,Vietsub,2022,Trung Quốc,Hoạt hình,HD,1493.0,8.0,1.0
20,Thanh Khâu Duyên Khởi,Hoàn thành,沈宏翔,0.0,Vietsub,2024,Trung Quốc,Viễn tưởng,HD,481.0,8.0,1.0
22,Strange Darling,Hoàn thành,JT Mollner,97.0,Vietsub,2024,Âu Mỹ,"Hình sự, Kinh dị",HD,651.0,8.0,1.0
24,Không Nói Điều Dữ,Hoàn thành,James Watkins,110.0,Vietsub,2024,Âu Mỹ,Kinh dị,HD,1427.0,8.0,1.0
26,Hương Vị Của Biển,Hoàn thành,Na Young Seok,,VietSub,2024,Hàn Quốc,Tv shows,HD,6131.0,8.0,1.0
27,Hồi Ức Của Một Người Thầy,Hoàn thành,Kyoll Hamzah,120.0,Vietsub,2024,Malaysia,Chính kịch,HD,161.0,8.0,1.0
28,Kamen Rider Gavv,Hoàn thành,Teruaki Sugihara,25.0,Vietsub,2024,Nhật Bản,"Phiêu lưu, Hành động, Viễn tưởng",HD,872.0,8.0,1.0
29,Culinary Class Wars,Hoàn thành,Kim Hak Min,63.0,Vietsub,2024,Hàn Quốc,Tv shows,HD,3143.0,8.0,1.0
30,Padu,Hoàn thành,Faisal Ishak,97.0,Vietsub,2024,Malaysia,Chính kịch,HD,176.0,8.0,1.0
31,Máu Lạnh,Hoàn thành,"Choi Jeong-eun, Kim Shin-il",,VietSub,2024,Hàn Quốc,"Gia đình, Chính kịch, Bí ẩn, Tâm lý",HD,10158.0,8.0,1.0
32,Gia Đình Khó Đoán,Hoàn thành,Kim Sung Geun,30.0,VietSub,2023,Hàn Quốc,"Tình cảm, Hài hước, Chính kịch, Tâm lý, Gia đình",HD,2017.0,8.0,1.0
33,Chuỗi Ngày Tự Lập Của Hyo Sim,Hoàn thành,Kim Hyeong-il,60.0,VietSub,2023,Hàn Quốc,"Gia đình, Chính kịch, Tình cảm, Tâm lý",HD,22492.0,9.8,4.0
34,Đế Chế Thanh Lịch,Hoàn thành,Park Gi Ho,30.0,VietSub,2023,Hàn Quốc,"Tình cảm, Chính kịch, Tâm lý, Gia đình, Bí ẩn",HD,1696.0,8.0,1.0
37,Beetlejuice Beetlejuice: Ma Siêu Quậy,Hoàn thành,Tim Burton,105.0,Vietsub,2024,Âu Mỹ,"Hài hước, Kinh dị",HD,889.0,8.0,1.0
38,Anh Ấy Xâm Chiếm Thế Giới Của Tôi,Hoàn thành,Kungfu Nitivat Cholvanichsiri,45.0,VietSub,2024,Thái Lan,"Tình cảm, Tâm lý",HD,4747.0,8.0,1.0
39,Xóa Tan Ký Ức,Hoàn thành,"Kim Na Young, Yoon Ji Hoon",70.0,VietSub,2024,Hàn Quốc,"Tình cảm, Hài hước",HD,4883.0,8.0,1.0
40,Giải Mã Tình Yêu Anh Bằng Trái Tim Em,Hoàn thành,"Naruebet Kuno, Tossaphon Riantong",70.0,Vietsub,2020,Thái Lan,Chính kịch,HD,688.0,8.0,1.0
41,Con Trai Bạn Mẹ (Chuyện Tình Nhà Bên),Hoàn thành,Yoo Je Won,,VietSub,2024,Hàn Quốc,"Tình cảm, Chính kịch, Tâm lý, Gia đình",HD,74781.0,8.0,1.0
42,Người Tình DNA,Hoàn thành,Sung Chi Wook,60.0,VietSub,2024,Hàn Quốc,"Tình cảm, Hài hước, Chính kịch, Tâm lý",HD,4255.0,8.0,1.0
43,Học Kỳ Sinh Tử,Đang chiếu,Sung Yong Il,60.0,Vietsub,2023,Hàn Quốc,"Hành động, Viễn tưởng",HD,34294.0,10.0,1.0
44,Học Kỳ Sinh Tử Phần 2,Hoàn thành,Sung Yong Il,45.0,VietSub,2023,Hàn Quốc,"Phiêu lưu, Gia đình, Hành động, Học đường, Viễn tưởng, Khoa học",HD,33356.0,9.5,2.0
45,Phố Trấn Hồn: Nhiệt Huyết Sục Sôi,Đang chiếu,Zhong Qing,45.0,Vietsub,2024,Trung Quốc,"Phiêu lưu, Hành động, Cổ trang",HD,6066.0,8.0,1.0
46,Đêm Tối Và Bình Minh,Hoàn thành,"Li Cai, Nan Huang",45.0,Vietsub,2024,Trung Quốc,"Chính kịch, Bí ẩn, Tâm lý",HD,4590.0,8.0,1.0
47,Thư Từ Biệt,Đang chiếu,Deniz Çelebi Dikilitaş,120.0,Vietsub,2023,Thổ Nhĩ Kỳ,"Gia đình, Chính kịch",HD,1904.0,8.0,1.0
48,Mạc Phong Ngâm,Hoàn thành,Hà Giai Nam,45.0,VietSub,2024,Trung Quốc,"Tình cảm, Chính kịch, Tâm lý, Phiêu lưu, Cổ trang, Võ thuật",HD,10203.0,8.0,1.0
49,"Nửa Thân Quen, Nửa Xa Lạ",Đang chiếu,Zhang Xiao Bo,45.0,Vietsub,2024,Trung Quốc,Tình cảm,HD,3723.0,8.0,1.0
50,Găng Tơ Tái Xuất,Hoàn thành,Kim Min Ho,116.0,VietSub,2018,Hàn Quốc,"Tâm lý, Phiêu lưu, Hành động, Hình sự",HD,2568.0,8.0,1.0
51,Bướm Đêm,Hoàn thành,Anggy Umbara,30.0,VietSub,2022,Indonesia,"Tình cảm, Tâm lý, Phim 18+",HD,12074.0,8.0,1.0
52,Thử Thách Thần Tượng,Đang chiếu,"Kim Ju Hyung, Jo Hyo Jin",90.0,Vietsub,2010,Hàn Quốc,"Hài hước, Phiêu lưu, Tv shows",HD,191636.0,3.0,2.0
53,Tình Sử Jang Ok Jung,Hoàn thành,Boo Sung-Chul,65.0,VietSub,2013,Hàn Quốc,Chính kịch,HD,61545.0,9.0,1.0
54,Y Quán Tiểu Truyện (Phần 1),Hoàn thành,Đinh Ngưỡng Quốc,45.0,Lồng Tiếng,2015,Trung Quốc,"Phim bộ, Phim hài, Cổ trang",HD,592.0,8.0,1.0
55,"Chiến Tranh, Loạn Lạc",Hoàn thành,김상만,126.0,Vietsub,2024,Hàn Quốc,"Hành động, Chính kịch",HD,361.0,8.0,1.0
56,Kỹ Sư Tình Yêu,Hoàn thành,"Niink Karnpicha Sinlertpattana, Ko Nantalit Tampacha",40.0,Vietsub,2020,Thái Lan,"Phim bộ, Tâm lý, Tình cảm",HD,629.0,8.0,1.0
58,Su Ji Và U Ri,Hoàn thành,Park Ki-hyun,30.0,Vietsub,2024,Hàn Quốc,"Gia đình, Chính kịch, Tình cảm, Tâm lý",HD,2759.0,8.0,1.0
59,Vũ Điệu Chiến Thắng,Hoàn thành,Park Beom-su,120.0,Vietsub,2024,Hàn Quốc,"Hài hước, Chính kịch",FHD,251.0,8.0,1.0
60,Bí Mật Bị Vùi Lấp Phần 1,Hoàn thành,"Josh Pate, Jonas Pate, Shannon Burke",50.0,Vietsub,2020,Âu Mỹ,"Hành động, Phiêu lưu",HD,8067.0,8.0,1.0
62,Affair: Mánh Khóe Tình Yêu,Hoàn thành,Pantip Wiboonthum,60.0,VietSub,2024,Thái Lan,"Tình cảm, Tâm lý, Học đường",HD,7251.0,8.0,1.0
67,Đảo Ngược Thời Gian Vì Em,Hoàn thành,Oat Vatanyu Ingkavivat,45.0,VietSub,2024,Thái Lan,"Tình cảm, Chính kịch, Tâm lý",HD,2881.0,8.0,1.0
68,BLUE LOCK THE MOVIE -EPISODE NAGI-,Hoàn thành,石川俊介,91.0,Vietsub,2024,Nhật Bản,"Chính kịch, Hành động",HD,471.0,8.0,1.0
69,Ma Sói,Hoàn thành,François Uzan,95.0,Vietsub,2024,Pháp,"Hành động, Hài hước, Phiêu lưu",HD,284.0,8.0,1.0
70,Truyện Kinh Dị Mỹ Phần 11,Hoàn thành,"Brad Falchuk, Ryan Murphy",45.0,Vietsub,2022,Âu Mỹ,"Tâm lý, Viễn tưởng, Kinh dị",HD,6280.0,8.0,1.0
71,Thiên Sứ Tội Lỗi (Đóa Hồng Tội Lỗi),Hoàn thành,Koo Ekkasit Trakulkasemsuk,,VietSub,2024,Thái Lan,"Tình cảm, Chính kịch, Tâm lý",HD,24613.0,8.0,1.0
72,Phong Thủy,Hoàn thành,Park Hee-Kon,126.0,Thuyết Minh,2018,Hàn Quốc,"Cổ trang, Tâm lý, Bí ẩn",HD,2490.0,8.0,1.0
73,Bậc Thầy Phong Thủy,Hoàn thành,Park Hee Kon,126.0,Thuyết Minh,2018,Hàn Quốc,"Cổ trang, Tâm lý",HD,2676.0,8.0,1.0
74,Tại Sao Boss Muốn Cưới Tôi 2,Hoàn thành,Qiang Wu,43.0,Vietsub,2020,Trung Quốc,Tình cảm,HD,9920.0,10.0,1.0
76,Bạo Chúa Caligula,Hoàn thành,Tinto Brass,156.0,Vietsub,1979,Âu Mỹ,"Tình cảm, Chính kịch",HD,211.0,8.0,1.0
77,Liều Mạng,Hoàn thành,Marc Ma,115.0,Vietsub,2024,Trung Quốc,"Hành động, Hình sự",FHD,411.0,8.0,1.0
78,21 Khoảnh Khắc,Hoàn thành,Néstor Ruiz Medina,97.0,Vietsub,2023,Tây Ban Nha,Chính kịch,FHD,324.0,8.0,1.0
79,Quái Vật Không Gian: Romulus,Hoàn thành,Fede Álvarez,119.0,Vietsub,2024,Âu Mỹ,"Viễn tưởng, Khoa học, Kinh dị",HD,663.0,8.0,1.0
80,Vô Gian Nhất Chiến,Hoàn thành,Mak Ho-Pong,86.0,Vietsub,2023,Trung Quốc,"Hình sự, Hành động",FHD,392.0,8.0,1.0
81,Thảm Họa Núi Lửa Katla,Hoàn thành,"Baltasar Kormákur, Sigurjón Kjartansson",43.0,Vietsub,2021,Iceland,"Chính kịch, Bí ẩn, Khoa học, Viễn tưởng",FHD,367.0,8.0,1.0
82,Em Không Ngốc 3,Hoàn thành,Jack Neo,132.0,Vietsub,2024,Singapore,"Chính kịch, Hài hước, Gia đình",FHD,109.0,8.0,1.0
83,Vân Tịch Truyện,Hoàn thành,Lưu Trấn Minh,45.0,Vietsub,2018,Trung Quốc,"Tình cảm, Cổ trang, Tâm lý",HD,67104.0,8.0,1.0
85,Gundam: Khúc cầu hồn thù hận,Hoàn thành,Đang cập nhật,24.0,Vietsub,2024,Nhật Bản,"Khoa học, Viễn tưởng, Hoạt hình",FHD,427.0,8.0,1.0
86,Nghe Thấy Giọng Nói Của Em,Hoàn thành,Hermione,33.0,Vietsub,2022,Trung Quốc,Hành động,HD,12564.0,8.0,1.0
87,Bài Học Tình Yêu Thứ 9,Hoàn thành,Wang Li Wen,55.0,Vietsub,2022,Đài Loan,"Tâm lý, Gia đình, Học đường",FHD,16076.0,8.0,1.0
88,Thủ Lĩnh Sho Huyền Thoại,Hoàn thành,"Ueda Hisashi, Sumida Takashi",50.0,Vietsub,2024,Nhật Bản,"Phim bộ, Hành động, Phim hài",HD,373.0,8.0,1.0
89,Tam Sinh Vô Thương,Đang chiếu,Wen Hong Yi,20.0,VietSub,2024,Trung Quốc,"Tình cảm, Chính kịch, Tâm lý, Phiêu lưu, Cổ trang",HD,2339.0,8.0,1.0
91,Cú Máy Ăn Tiền,Hoàn thành,김지운,135.0,Vietsub,2023,Hàn Quốc,"Hài hước, Chính kịch, Lịch sử",FHD,406.0,8.0,1.0
92,Người Đàn Ông Yêu UFO,Hoàn thành,Diego Lerman,107.0,Vietsub,2024,Argentina,"Hài hước, Chính kịch",HD,104.0,8.0,1.0
93,The Life and Movies of Erşan Kuneri Phần 2,Hoàn thành,Cem Yılmaz,50.0,Vietsub,2024,Thổ Nhĩ Kỳ,Hài hước,HD,144.0,8.0,1.0
95,Nhà Của Bé Sư Tử,Đang chiếu,Toshio Tsuboi,45.0,Vietsub,2024,Nhật Bản,"Gia đình, Chính kịch, Bí ẩn",HD,196.0,8.0,1.0
96,Đoàn Tàu Cõi Âm,Hoàn thành,Rizal Mantovani,102.0,VietSub,2024,Indonesia,"Kinh dị, Tâm lý, Bí ẩn",HD,781.0,8.0,1.0
99,Mật Mã Lệch Lạc,Hoàn thành,"Jojo Tichakorn Phukhaotong, Ninew Pinya Chookamsri",50.0,VietSub,2022,Thái Lan,"Tình cảm, Hài hước, Chính kịch, Học đường",FHD,9282.0,8.0,1.0
100,Lời Hồi Đáp 1988-LEE HYE RI,Hoàn thành,Shen Yuan Hao,90.0,Thuyết Minh,2015,Hàn Quốc,"Tình cảm, Tâm lý",HD,99375.0,10.0,2.0
101,Dự Án Hồ Muối,Hoàn thành,Lu Lei,90.0,Vietsub,2024,Trung Quốc,"Phim lẻ, Phiêu lưu, Phim hài, Hình sự",HD,266.0,8.0,1.0
102,Thất Dạ Tuyết,Hoàn thành,"Ren Haitao, Liang Sheng Quan",,VietSub,2024,Trung Quốc,"Tình cảm, Chính kịch, Tâm lý, Phiêu lưu, Hành động, Cổ trang",HD,8872.0,8.0,1.0
103,Thêm Một Lần Nữa,Hoàn thành,hwang kyung sung,,VietSub,2022,Hàn Quốc,Tình cảm,HD,5902.0,8.0,1.0
104,Lửa Và Nước,Hoàn thành,Sion Sono,129.0,Vietsub,2011,Nhật Bản,"Hình sự, Chính kịch",HD,3359.0,8.0,1.0
105,Bộ Tứ Siêu Đẳng: Sứ Giả Bạc,Hoàn thành,Tim Story,92.0,Vietsub,2007,Âu Mỹ,"Hành động, Hình sự, Phiêu lưu, Bí ẩn",HD,2865.0,8.0,1.0
107,Đô Thị Cổ Tiên Y,Đang chiếu,Đang cập nhật,9.0,Vietsub,2024,Trung Quốc,"Hành động, Phiêu lưu, Viễn tưởng, Hoạt hình",FHD,354.0,8.0,1.0
108,Vincenzo,Hoàn thành,Kim Hee-Won,60.0,VietSub,2021,Hàn Quốc,"Hành động, Hình sự, Phiêu lưu",HD,72248.0,8.0,1.0
109,Câu Chuyện Sau Chia Tay,Hoàn thành,Moon Hyun Sung,,VietSub,2024,Hàn Quốc,"Tình cảm, Chính kịch, Tâm lý",HD,3571.0,8.0,1.0
110,Bản Án Từ Địa Ngục Phần 2,Hoàn thành,Choi Gyu Seok,,VietSub,2024,Hàn Quốc,"Hình sự, Viễn tưởng, Khoa học, Chính kịch",HD,978.0,8.0,1.0
112,Trò Chơi Đuổi Bắt W2,Hoàn thành,Tomoya Sugioka,23.0,Vietsub,2024,Nhật Bản,"Tình cảm, Chính kịch, Tâm lý",HD,710.0,8.0,1.0
