id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai,luotxem,rating,vote
1,Đam Mê Dục Vọng,Hoàn thành,Kōta Yoshida,85 phút,Vietsub,2016,Nhật Bản,"Tình Cảm, Chính kịch, Viễn Tưởng, Phim 18+, Phim lẻ",HD,167.0,8.0,1.0
2,Love Sick 2024,Đang chiếu,Cheewin Thanamin Wongskulphat,60 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý",HD,3542.0,8.0,1.0
3,Liên Minh Huyền Thoại: Khởi Nguồn,Hoàn thành,"Suki Medencevic, Leslie Iwerks",77Phút,Vietsub,2019,Âu Mỹ,Tài Liệu,HD,1746.0,8.0,1.0
4,Sát Thủ Mật Danh 13,Hoàn thành,Timo Tjahjanto,144 phút,Vietsub,2024,Indonesia,"Hành Động, Hình Sự, Tâm Lý",FHD,324.0,8.0,1.0
5,Vụ Cướp Táo Tợn,Hoàn thành,Michał Gazda,114 phút,Vietsub,2024,Ba lan,"Hình Sự, Chính kịch",FHD,229.0,8.0,1.0
6,Hellboy: Đại Chiến Quỷ Dữ,Hoàn thành,Brian Taylor,100 Phút,Vietsub,2024,Âu Mỹ,"Viễn Tưởng, Kinh Dị, Phiêu Lưu, Hành Động",HD,1539.0,8.0,1.0
7,Cái Chết Của Bạch Tuyết,Hoàn thành,"Byun Young Joo, Lee Kyoo Man",70 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phiêu Lưu, Bí ẩn, Hình Sự",HD,10248.0,8.0,1.0
9,Hội Quái Hộp,Hoàn thành,Anthony Stacchi,97 phút,Vietsub,2014,Âu Mỹ,"Hài Hước, Gia Đình, Hoạt Hình",HD,259.0,8.0,1.0
10,Đặc Vụ Xuyên Quốc Gia,Hoàn thành,Lee Seok Hoon,130 Phút,Vietsub,2022,Hàn Quốc,"Hành Động, Phiêu Lưu",HD,5447.0,9.0,1.0
11,Bí Mật Đêm Hè,Hoàn thành,Rawiphon Hong-ngam,44 phút/tập,Vietsub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD,1284.0,8.0,1.0
13,Thượng Ẩn Thái Lan,Hoàn thành,Yuan Tin Tun Danop,60 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD,3287.0,8.0,1.0
15,Hố Sâu Đói Khát 2,Hoàn thành,Galder Gaztelu-Urrutia,100 Phút,Vietsub,2024,Tây Ban Nha,"Viễn Tưởng, Khoa Học, Chính kịch",HD,599.0,8.0,1.0
16,Những kẻ xấu xa: Phi vụ ma ám,Hoàn thành,Kevin Peaty,22 Phút,Vietsub,2024,Âu Mỹ,"Hài Hước, Hoạt Hình",HD,468.0,8.0,1.0
