id_phim,tenphim,trangthai,daodien,thoiluong,phude,namsx,quocgia,theloai,dophangiai
1,Đam Mê Dục Vọng,Hoàn thành,Kōta Yoshida,85 phút,Vietsub,2016,Nhật Bản,"Tình Cảm, Chính kịch, Viễn Tưởng, Phim 18+, Phim lẻ",HD
2,Love Sick 2024,Đang chiếu,Cheewin Thanamin Wongskulphat,60 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Hài Hước, Chính kịch, Tâm Lý",HD
3,Liên Minh Huyền Thoại: Khởi Nguồn,Hoàn thành,"Suki Medencevic, Leslie Iwerks",77Phút,Vietsub,2019,Âu Mỹ,Tài Liệu,HD
4,Sát Thủ Mật Danh 13,Hoàn thành,Timo Tjahjanto,144 phút,Vietsub,2024,Indonesia,"Hành Động, Hình Sự, Tâm Lý",FHD
5,Vụ Cướp Táo Tợn,Hoàn thành,Michał Gazda,114 phút,Vietsub,2024,Ba lan,"Hình Sự, Chính kịch",FHD
6,Hellboy: Đại Chiến Quỷ Dữ,Hoàn thành,Brian Taylor,100 Phút,Vietsub,2024,Âu Mỹ,"Viễn Tưởng, Kinh Dị, Phiêu Lưu, Hành Động",HD
7,Cái Chết Của Bạch Tuyết,Hoàn thành,"Byun Young Joo, Lee Kyoo Man",70 phút/tập,VietSub,2024,Hàn Quốc,"Tình Cảm, Chính kịch, Tâm Lý, Phiêu Lưu, Bí ẩn, Hình Sự",HD
9,Hội Quái Hộp,Hoàn thành,Anthony Stacchi,97 phút,Vietsub,2014,Âu Mỹ,"Hài Hước, Gia Đình, Hoạt Hình",HD
10,Đặc Vụ Xuyên Quốc Gia,Hoàn thành,Lee Seok Hoon,130 Phút,Vietsub,2022,Hàn Quốc,"Hành Động, Phiêu Lưu",HD
11,Bí Mật Đêm Hè,Hoàn thành,Rawiphon Hong-ngam,44 phút/tập,Vietsub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD
12,Anh chàng sợ ma,Hoàn thành,Roy Krishnan,1g 47phút,Vietsub,2022,Malaysia,Kinh Dị,HD
13,Thượng Ẩn Thái Lan,Hoàn thành,Yuan Tin Tun Danop,60 phút/tập,VietSub,2024,Thái Lan,"Tình Cảm, Chính kịch, Tâm Lý",HD
14,Sơn Trại Tiểu Manh Chủ,Hoàn thành,Zoe Qin,46M5S,Vietsub,2020,Trung Quốc,"Tình Cảm, Cổ Trang",HD
15,Hố Sâu Đói Khát 2,Hoàn thành,Galder Gaztelu-Urrutia,100 Phút,Vietsub,2024,Tây Ban Nha,"Viễn Tưởng, Khoa Học, Chính kịch",HD
16,Những kẻ xấu xa: Phi vụ ma ám,Hoàn thành,Kevin Peaty,22 Phút,Vietsub,2024,Âu Mỹ,"Hài Hước, Hoạt Hình",HD
17,Harta Tahta Raisa,Hoàn thành,Soleh Solihun,1 giờ 30phút,VietSub,2024,Indonesia,"Chính kịch, Tài Liệu",HD
18,Phần Đất Của Salem,Hoàn thành,Gary Dauberman,113 Phút,Vietsub,2024,Âu Mỹ,"Kinh Dị, Bí ẩn",HD
19,Thần Mộ,Hoàn thành,Hui Tong,74 phút,Vietsub,2022,Trung Quốc,Hoạt Hình,HD
20,Thanh Khâu Duyên Khởi,Hoàn thành,沈宏翔,0 Phút,Vietsub,2024,Trung Quốc,Viễn Tưởng,HD
21,Tróc Đao Nhân,Hoàn thành,Qin Pengfei,1 giờ 30phút,VietSub,2024,Trung Quốc,"Chính kịch, Phiêu Lưu, Hành Động, Cổ Trang",HD
22,Strange Darling,Hoàn thành,JT Mollner,97 Phút,Vietsub,2024,Âu Mỹ,"Hình Sự, Kinh Dị",HD
23,Kiểm Soát (Xóa Bỏ),Hoàn thành,Vikramaditya Motwane,1 giờ 30phút,VietSub,2024,Ấn Độ,"Chính kịch, Bí ẩn, Khoa Học",HD
24,Không Nói Điều Dữ,Hoàn thành,James Watkins,110 Phút,Vietsub,2024,Âu Mỹ,Kinh Dị,HD
25,Điều Bên Trong,Hoàn thành,Greg Jardin,1 giờ 30phút,VietSub,2024,Âu Mỹ,"Hài Hước, Tâm Lý, Viễn Tưởng, Khoa Học",HD
26,Hương Vị Của Biển,Hoàn thành,Na Young Seok,50 phút/ tập,VietSub,2024,Hàn Quốc,TV Shows,HD
27,Hồi Ức Của Một Người Thầy,Hoàn thành,Kyoll Hamzah,120 Phút,Vietsub,2024,Malaysia,Chính kịch,HD
28,Kamen Rider Gavv,Hoàn thành,Teruaki Sugihara,25 phút/tập,Vietsub,2024,Nhật Bản,"Phiêu Lưu, Hành Động, Viễn Tưởng",HD
