id_phim,luotxem,rating,vote
1,167,8,1
2,3542,8,1
3,1746,8,1
4,324,8,1
5,229,8,1
6,1539,8,1
7,10248,8,1
9,259,8,1
10,5447,9,1
11,1284,8,1
12,317,8,1
13,3287,8,1
14,15882,5,1
15,599,8,1
16,468,8,1
17,237,8,1
18,534,8,1
19,1493,8,1
20,481,8,1
21,1147,8,1
22,651,8,1
23,389,8,1
24,1427,8,1
25,368,8,1
26,6131,8,1
27,161,8,1
28,872,8,1
29,3143,8,1
30,176,8,1
31,10158,8,1
32,2017,8,1
33,22492,9.8,4
34,1696,8,1
35,721,8,1
37,889,8,1
38,4747,8,1
39,4883,8,1
40,688,8,1
41,74781,8,1
42,4255,8,1
43,34294,10,1
44,33356,9.5,2
45,6066,8,1
46,4590,8,1
47,1904,8,1
48,10203,8,1
49,3723,8,1
50,2568,8,1
51,12074,8,1
52,191636,3,2
53,61545,9,1
54,592,8,1
55,361,8,1
56,629,8,1
57,12284,8,1
58,2759,8,1
59,251,8,1
60,8067,8,1
61,3336,8,1
62,7251,8,1
65,2372,8,1
66,424,8,1
67,2881,8,1
68,471,8,1
69,284,8,1
70,6280,8,1
71,24613,8,1
72,2490,8,1
73,2676,8,1
74,9920,10,1
76,211,8,1
77,411,8,1
78,324,8,1
79,663,8,1
80,392,8,1
81,367,8,1
82,109,8,1
83,67104,8,1
85,427,8,1
86,12564,8,1
87,16076,8,1
88,373,8,1
89,2339,8,1
90,456,8,1
91,406,8,1
92,104,8,1
93,144,8,1
94,59780,7.4,9
95,196,8,1
96,781,8,1
97,2387,8,1
98,5402,8,1
99,9282,8,1
100,99375,10,2
101,266,8,1
102,8872,8,1
103,5902,8,1
104,3359,8,1
105,2865,8,1
107,354,8,1
108,72248,8,1
109,3571,8,1
110,978,8,1
111,11634,8,1
112,710,8,1
113,670,8,1
114,14486,8,1
115,17535,10,2
116,295,8,1
117,240,8,1
118,36226,10,1
119,19631,8,1
120,12397,8,1
121,359,8,1
122,6150,8,1
123,933,8,1
124,6762,8,1
125,5639,8,1
126,589,8,1
127,3142,8,1
128,1813,8,1
129,3036,8,1
130,344,8,1
131,150,8,1
132,935,8,1
133,1238,8,1
134,682,8,1
135,223,8,1
136,7785,8,1
137,298691,9.4,14
139,15059,8,1
140,13396,8,1
141,11029,8,1
142,135,8,1
143,43301,10,1
144,126,8,1
145,2800,8,1
146,2573,8,1
149,104169,9.3,4
150,91447,8.2,5
151,473,8,1
152,18047,8,1
153,19046,8,1
154,20896,10,1
155,36982,8,1
156,3370,8,1
157,32259,7.6,11
158,123,8,1
159,140,8,1
160,326,8,1
161,321,8,1
162,312,8,1
163,150,8,1
164,121,8,1
165,10704,8,1
166,9991,8,1
167,8434,8,1
169,13438,10,1
170,17435,8,1
171,2083,8,1
172,11143,8,1
173,2395,8,1
176,5453,8,1
177,176,8,1
178,183,8,1
179,153,8,1
180,3631,8,1
181,447,8,1
182,281,8,1
183,281,8,1
184,170,8,1
185,342,8,1
186,245,8,1
187,262,8,1
188,3440,8,1
189,3631,8,1
190,819,8,1
191,327,8,1
192,3663,8,1
193,1728,8,1
194,168,8,1
195,2136,8,1
196,2364,8,1
197,945,8,1
198,821,8,1
199,1478,8,1
200,266,8,1
201,428,8,1
202,331,8,1
203,432,8,1
204,228,8,1
205,515,8,1
206,179,8,1
207,1869,8,1
208,262,8,1
209,464,8,1
210,254,8,1
211,343,8,1
212,217,8,1
213,10351,8,1
214,333,8,1
215,1725,8,1
216,195,1,1
217,1105,8,1
218,17154,8,1
219,293,8,1
220,430,8,1
221,500,8,1
222,156,8,1
223,122,8,1
224,240,8,1
225,2051,8,1
226,3992,8,1
